40,30
110,110,110,103,110,110,111,118,118,118,119,81,1,81,87,94,94,94,94,94,94,94,94,95,102,102,103,118,119,81,81,81,160,161,162,81,81,81,81,81,
110,110,110,111,118,118,119,81,81,81,81,87,94,94,95,110,110,110,110,110,110,110,110,103,102,102,111,81,81,81,1,152,164,161,162,81,81,81,81,81,
118,118,118,119,81,81,81,1,87,94,94,95,110,110,103,110,11,14,14,14,15,110,110,111,118,118,119,81,81,81,152,164,161,155,170,81,81,81,81,81,
81,81,81,81,87,94,94,94,95,110,110,103,110,110,111,118,19,20,21,22,23,118,118,119,81,81,81,81,81,152,164,161,155,170,51,52,52,52,55,81,
81,87,94,94,95,110,110,110,103,110,110,111,118,118,119,81,27,28,0,30,31,81,81,81,81,81,81,81,81,160,161,155,170,81,59,60,60,60,63,81,
94,95,110,110,103,51,52,52,52,55,118,119,81,81,81,1,35,36,0,38,39,1,81,81,81,81,81,81,81,160,161,162,1,1,67,68,0,70,71,81,
110,103,110,110,111,59,60,60,60,63,81,81,81,81,81,81,80,33,33,33,82,81,81,81,72,73,73,74,81,160,161,162,81,81,35,36,0,38,39,81,
110,111,118,118,119,67,68,0,70,71,81,81,81,81,81,72,84,9,33,33,83,73,73,73,84,75,89,90,81,160,161,162,81,72,84,10,33,83,74,81,
118,119,81,81,81,35,36,0,38,39,81,81,72,73,73,84,10,33,75,89,89,89,89,89,89,90,81,1,81,160,161,162,81,88,89,89,89,76,83,73,
81,81,81,81,81,80,33,33,33,83,73,73,84,33,33,33,75,89,90,81,81,81,1,81,81,81,81,87,94,94,94,94,85,1,81,81,81,88,76,9,
81,81,81,81,1,88,76,9,33,75,89,89,76,33,75,89,90,81,81,81,81,81,1,81,81,87,94,95,110,110,110,110,93,94,94,85,81,81,88,89,
81,81,81,81,81,81,88,89,89,90,81,81,80,10,82,81,81,81,81,1,81,1,87,94,94,95,110,111,118,160,161,162,109,110,110,93,94,94,94,85,
81,87,94,94,94,85,81,81,81,81,81,81,80,33,82,81,1,81,81,81,87,94,95,110,110,111,118,119,81,160,161,162,117,118,118,109,110,110,110,93,
94,95,110,110,110,93,94,94,94,85,81,81,125,126,127,81,81,87,94,94,95,110,111,118,118,119,81,81,81,160,161,162,81,81,81,117,118,118,118,109,
110,111,118,11,14,14,14,15,110,93,94,94,133,134,135,94,94,95,110,110,111,118,119,81,1,1,81,81,152,164,161,162,81,81,81,81,81,81,81,117,
